NAME,median_household_income,median_earnings,state,public use microdata area,state_fips,puma_code,puma_full_id
"Palm Beach County (West)--Glades & Western Communities PUMA, Florida",68271.0,35100.0,12,09911,12,09911,1209911
"Palm Beach County (East)--Greenacres City (North) & Palm Springs Village (North) PUMA, Florida",48058.0,26694.0,12,09904,12,09904,1209904
"Palm Beach County (West of Boca Raton City) PUMA, Florida",65101.0,36535.0,12,09909,12,09909,1209909
"Palm Beach County (Central)--Wellington Village & Agricultural Reserve PUMA, Florida",97175.0,45445.0,12,09910,12,09910,1209910
"Palm Beach County (Northeast)--Palm Beach Gardens & Riviera Beach Cities PUMA, Florida",66944.0,34865.0,12,09902,12,09902,1209902
"District of Columbia (West) PUMA, District of Columbia",138782.0,74483.0,11,00101,11,00101,1100101
"Flagler & Volusia (North Central) Counties PUMA, Florida",59138.0,30710.0,12,03500,12,03500,1203500
"Volusia County--Port Orange, Edgewater, New Smyrna Beach (East) & Oak Hill Cities PUMA; Florida",51513.0,30874.0,12,12703,12,12703,1212703
"Volusia County (Northeast)--Daytona Beach, Ormond Beach & Holly Hill Cities PUMA; Florida",44602.0,27658.0,12,12702,12,12702,1212702
"Volusia County (Southwest Central)--Deltona & Lake Helen Cities PUMA, Florida",60254.0,33413.0,12,12704,12,12704,1212704
"Volusia County (Central & Northwest)--DeLand, DeBary Cities & Pierson Town PUMA; Florida",55852.0,34010.0,12,12701,12,12701,1212701
"Sarasota County (Central & Gulf Coast) PUMA, Florida",66902.0,34495.0,12,11502,12,11502,1211502
"Sarasota County (East) PUMA, Florida",65136.0,31870.0,12,11503,12,11503,1211503
"Sarasota County (North) PUMA, Florida",61667.0,32245.0,12,11501,12,11501,1211501
"Manatee County (South) PUMA, Florida",65945.0,34519.0,12,08103,12,08103,1208103
"Pinellas County (Central)--Greater Pinellas Park City PUMA, Florida",47817.0,31725.0,12,10306,12,10306,1210306
"Palm Beach County (Southeast)--Greater Delray Beach City PUMA, Florida",57365.0,34788.0,12,09907,12,09907,1209907
"Palm Beach County (Southeast)--Boca Raton City & Highland Beach Town PUMA, Florida",83346.0,43631.0,12,09908,12,09908,1209908
"Northwest Central Iowa--Storm Lake, Denison & Cherokee Region PUMA; Iowa",55115.0,33159.0,19,01900,19,01900,1901900
"Warren, Jasper, Marion, Dallas (West) & Madison Counties PUMA; Iowa",67235.0,38762.0,19,01400,19,01400,1901400
